longitude,latitude
8.196628008434888102e+01,1.397859571919950028e+01
8.193778654020208307e+01,1.401990214189971873e+01
8.196468325366306829e+01,1.403950963935772123e+01
8.194914008756201440e+01,1.400189825284361689e+01
8.196104206264847392e+01,1.401127383279317939e+01
8.198797527967983001e+01,1.397409415770544960e+01
8.197384193867908664e+01,1.399856509034798435e+01
8.197311791016299765e+01,1.395889367954962346e+01
8.197641014403600934e+01,1.401323113815709576e+01
8.196017069496487295e+01,1.397748260666749509e+01
8.193366432408613775e+01,1.404329114999051242e+01
8.197388369154329268e+01,1.399579025877341287e+01
8.199312896941083295e+01,1.397974724966320714e+01
8.195693663156497166e+01,1.401729865002839226e+01
8.195628675451646927e+01,1.403336059174474038e+01
8.198939588204072493e+01,1.397357800033478981e+01
8.195621183090534601e+01,1.405873312097830308e+01
8.196429634884039217e+01,1.396088238656911606e+01
8.196639984670729007e+01,1.399057313052806251e+01
8.198279146494292036e+01,1.401106155052759128e+01
8.198403995893859530e+01,1.399326220044129876e+01
8.198741581072395945e+01,1.402495685309341589e+01
8.195497180269752846e+01,1.400110874152785634e+01
8.198828524872909895e+01,1.400497196555047630e+01
8.194522559676433104e+01,1.403814839881898280e+01
8.196132425794328924e+01,1.400088981493534313e+01
8.195529384588971311e+01,1.395195244449460681e+01
8.196899493522421665e+01,1.403170719908082553e+01
8.195684995924875693e+01,1.404656358302562325e+01
8.197998021005753344e+01,1.399201788610105091e+01
8.195540731914907440e+01,1.397651175626496212e+01
8.195318129442055977e+01,1.400068102037495521e+01
8.195889569016554788e+01,1.400523037594185283e+01
8.197230656689106354e+01,1.401457260285866369e+01
8.198717771384572472e+01,1.399587959763194078e+01
8.199150312511575578e+01,1.401403421144473249e+01
8.200933680640063983e+01,1.399652029984352630e+01
8.198394494747094541e+01,1.396736853211204910e+01
8.194950494213519221e+01,1.406039277553374944e+01
8.195479212618317888e+01,1.405491646849910481e+01
8.197329899543029796e+01,1.400373600833109577e+01
8.194706089611256061e+01,1.401990027708253628e+01
8.194420774099970117e+01,1.400232412708161078e+01
8.197192245820208711e+01,1.399944959348635720e+01
8.196389823776927130e+01,1.397869930672709060e+01
8.196351186812131573e+01,1.400168882056267705e+01
8.193874817558824475e+01,1.401302317342203807e+01
8.197030592582072472e+01,1.404441388172709360e+01
8.194902741933671564e+01,1.400145438405829701e+01
8.196077771627368236e+01,1.404676207539392152e+01
8.195601762365262744e+01,1.399974917353218729e+01
8.195189302932780606e+01,1.401673988807557691e+01
8.198863160067188005e+01,1.399882275196914350e+01
8.198272399306189584e+01,1.400684645199161338e+01
8.198288928154036626e+01,1.399273372446758401e+01
8.195423591556487963e+01,1.402235459586236743e+01
8.194353367983150349e+01,1.404598412734266510e+01
8.194183865561566904e+01,1.399407941350557572e+01
8.194918014842293985e+01,1.402153117622317247e+01
8.198908068094499413e+01,1.398653666784278471e+01
8.196860881764915518e+01,1.399169240065487330e+01
8.198988724666911310e+01,1.398378773212171211e+01
8.196561250423320644e+01,1.397110793652335481e+01
8.200888085029771446e+01,1.399267277708292312e+01
8.197414970211418961e+01,1.399746059958068400e+01
8.195639876148682390e+01,1.399162367120398542e+01
8.194400310727101555e+01,1.398210808629476887e+01
8.195693644577792725e+01,1.401685909186164203e+01
8.195201679686276464e+01,1.399730557697392008e+01
8.192901693760232718e+01,1.400342692058807614e+01
8.194020137842395002e+01,1.400768838600017396e+01
8.194522450145876746e+01,1.403307912585002626e+01
8.195998072608564655e+01,1.402258618364807319e+01
8.200319472935755982e+01,1.402998266370101632e+01
8.194180506226921068e+01,1.401783928734174012e+01
8.197141988449038763e+01,1.400603443271315207e+01
8.198461253382616576e+01,1.400977323651493478e+01
8.198267201307098162e+01,1.399527954609287583e+01
8.197373928757208716e+01,1.400256803083448354e+01
8.197007926112996756e+01,1.402980901747985776e+01
8.197624748527381655e+01,1.400848063050305647e+01
8.199557496978454196e+01,1.398472400852657671e+01
8.198524552316278857e+01,1.398022901637288484e+01
8.198035485090355223e+01,1.401741802610219878e+01
8.195952073611252331e+01,1.401727279253648639e+01
8.195539679489934315e+01,1.399815642540153782e+01
8.198415182850357041e+01,1.400418466749944457e+01
8.198690172662479370e+01,1.401694797265488823e+01
8.196739718614190906e+01,1.400826769586753251e+01
8.196993123730362640e+01,1.402753092529056467e+01
8.197574701861746860e+01,1.396914976198801206e+01
8.195538276265790500e+01,1.400101450505517953e+01
8.193472843050894028e+01,1.401985244614635384e+01
8.196747091574576416e+01,1.398303706415028635e+01
8.195809033010834810e+01,1.398528767897634495e+01
8.196710331650390913e+01,1.399419741025618080e+01
8.196761554098141289e+01,1.399435486481829649e+01
8.199047321470965244e+01,1.403144189303382383e+01
8.199302316623214892e+01,1.400057125877340880e+01
8.195906924224503598e+01,1.400138236374174383e+01
8.198006450594206740e+01,1.399908699081239938e+01
8.193541195242350739e+01,1.404807307863025834e+01
8.197067537876561971e+01,1.398592919588056027e+01
8.193484224896830881e+01,1.404045170666951314e+01
8.195010118339240535e+01,1.401551448619963480e+01
8.193843253595429132e+01,1.403205710800236794e+01
8.197020162997009152e+01,1.400581349636320816e+01
8.197265003946114348e+01,1.398947812935554147e+01
8.194393867416548005e+01,1.402904963234135138e+01
8.197230264983120662e+01,1.399162007023081777e+01
8.194888636795177206e+01,1.402133230873447189e+01
8.198851435148000633e+01,1.401600948095735610e+01
8.195528045336095602e+01,1.400574741451979754e+01
8.195905738587173062e+01,1.400112469199955179e+01
8.197421304700063160e+01,1.400794681867711056e+01
8.195486555376008653e+01,1.398974421776377675e+01
8.194838157805689605e+01,1.401461630480866027e+01
8.197320184976845781e+01,1.399139631161968644e+01
8.195621196651555351e+01,1.404301812028378826e+01
8.197295291896224967e+01,1.396331524242448019e+01
8.195479251806020216e+01,1.399004215081988889e+01
8.197032163608157873e+01,1.398704332584956234e+01
8.195962527121770336e+01,1.401014080083229985e+01
8.200986440576838277e+01,1.399398292304310232e+01
8.200128809570459509e+01,1.400402685539593328e+01
8.195888383185679515e+01,1.398700380299194279e+01
8.195654476161035973e+01,1.397999948661292002e+01
8.194698250985210564e+01,1.402367416264709199e+01
8.195642859540511438e+01,1.403383317466338376e+01
8.196789078148735541e+01,1.400723460659018826e+01
8.196475428532937713e+01,1.401411771971713094e+01
8.194610985364353439e+01,1.403296074401391458e+01
8.195590767268083709e+01,1.403934038280148933e+01
